Id,Rule Name,Product,Severity,Status,Confidence,Category,Is Pro Rule,Assistant Triage Result,Assistant Triage Reason,Assistant Component,Repository Name,Repository Url,Line Of Code Url,Semgrep Platform Link,Created At,Last Opened At,Branch,Triaged At,Triage Comment,Triage Reason,Rule Description
668592117,python.fastapi.code.tainted-code-stdlib-fastapi.tainted-code-stdlib-fastapi,Code,Critical,Open,High,security,False,,,,local_scan/modern-software-dev-assignments/week6,https://github.com/snowshine0216/modern-software-dev-assignments,https://github.com/snowshine0216/modern-software-dev-assignments/blob/fafbec0c8135cdd84d6cb0239655fe25b603b75d/week6/backend/app/routers/notes.py#L104,https://semgrep.dev/orgs/snowshine_personal_org/findings/668592117,2026-01-03 09:15:35.079141,2026-01-03 09:15:35.062037,refs/heads/master,,,,"The application might dynamically evaluate untrusted input, which can lead to a code injection vulnerability. An attacker can execute arbitrary code, potentially gaining complete control of the system. To prevent this vulnerability, avoid executing code containing user input. If this is unavoidable, validate and sanitize the input, and use safe alternatives for evaluating user input."
668592116,python.fastapi.db.generic-sql-fastapi.generic-sql-fastapi,Code,Critical,Open,High,security,False,,,,local_scan/modern-software-dev-assignments/week6,https://github.com/snowshine0216/modern-software-dev-assignments,https://github.com/snowshine0216/modern-software-dev-assignments/blob/fafbec0c8135cdd84d6cb0239655fe25b603b75d/week6/backend/app/routers/action_items.py#L33,https://semgrep.dev/orgs/snowshine_personal_org/findings/668592116,2026-01-03 09:15:35.079124,2026-01-03 09:15:35.062027,refs/heads/master,,,,"Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. The driver API has the ability to bind parameters to the query in a safe way. Make sure not to dynamically create SQL queries from user-influenced inputs. If you cannot avoid this, either escape the data properly or create an allowlist to check the value."
668592115,python.fastapi.db.generic-sql-fastapi.generic-sql-fastapi,Code,Critical,Open,High,security,False,,,,local_scan/modern-software-dev-assignments/week6,https://github.com/snowshine0216/modern-software-dev-assignments,https://github.com/snowshine0216/modern-software-dev-assignments/blob/fafbec0c8135cdd84d6cb0239655fe25b603b75d/week6/backend/app/routers/notes.py#L33,https://semgrep.dev/orgs/snowshine_personal_org/findings/668592115,2026-01-03 09:15:35.079108,2026-01-03 09:15:35.062018,refs/heads/master,,,,"Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. The driver API has the ability to bind parameters to the query in a safe way. Make sure not to dynamically create SQL queries from user-influenced inputs. If you cannot avoid this, either escape the data properly or create an allowlist to check the value."
668592114,python.fastapi.db.generic-sql-fastapi.generic-sql-fastapi,Code,Critical,Open,High,security,False,,,,local_scan/modern-software-dev-assignments/week6,https://github.com/snowshine0216/modern-software-dev-assignments,https://github.com/snowshine0216/modern-software-dev-assignments/blob/fafbec0c8135cdd84d6cb0239655fe25b603b75d/week6/backend/app/routers/notes.py#L80,https://semgrep.dev/orgs/snowshine_personal_org/findings/668592114,2026-01-03 09:15:35.079092,2026-01-03 09:15:35.062009,refs/heads/master,,,,"Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. The driver API has the ability to bind parameters to the query in a safe way. Make sure not to dynamically create SQL queries from user-influenced inputs. If you cannot avoid this, either escape the data properly or create an allowlist to check the value."
668592113,python.fastapi.db.sqlalchemy-fastapi.sqlalchemy-fastapi,Code,Critical,Open,High,security,False,,,,local_scan/modern-software-dev-assignments/week6,https://github.com/snowshine0216/modern-software-dev-assignments,https://github.com/snowshine0216/modern-software-dev-assignments/blob/fafbec0c8135cdd84d6cb0239655fe25b603b75d/week6/backend/app/routers/notes.py#L72,https://semgrep.dev/orgs/snowshine_personal_org/findings/668592113,2026-01-03 09:15:35.079076,2026-01-03 09:15:35.062001,refs/heads/master,,,,"Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. Use the SQLAlchemy ORM provided functions to build SQL queries instead to avoid SQL injection."
668592112,python.tars.fastapi.sql.aiosqlite.fastapi-aiosqlite-sqli.fastapi-aiosqlite-sqli,Code,Critical,Open,High,security,False,,,,local_scan/modern-software-dev-assignments/week6,https://github.com/snowshine0216/modern-software-dev-assignments,https://github.com/snowshine0216/modern-software-dev-assignments/blob/fafbec0c8135cdd84d6cb0239655fe25b603b75d/week6/backend/app/routers/action_items.py#L33,https://semgrep.dev/orgs/snowshine_personal_org/findings/668592112,2026-01-03 09:15:35.079059,2026-01-03 09:15:35.061991,refs/heads/master,,,,"Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. To prevent this vulnerability, use prepared statements that do not concatenate user-controllable strings and use parameterized queries where SQL commands and user data are strictly separated. Also, consider using an object-relational (ORM) framework to operate with safer abstractions."
668592111,python.tars.fastapi.sql.aiosqlite.fastapi-aiosqlite-sqli.fastapi-aiosqlite-sqli,Code,Critical,Open,High,security,False,,,,local_scan/modern-software-dev-assignments/week6,https://github.com/snowshine0216/modern-software-dev-assignments,https://github.com/snowshine0216/modern-software-dev-assignments/blob/fafbec0c8135cdd84d6cb0239655fe25b603b75d/week6/backend/app/routers/notes.py#L33,https://semgrep.dev/orgs/snowshine_personal_org/findings/668592111,2026-01-03 09:15:35.079043,2026-01-03 09:15:35.061981,refs/heads/master,,,,"Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. To prevent this vulnerability, use prepared statements that do not concatenate user-controllable strings and use parameterized queries where SQL commands and user data are strictly separated. Also, consider using an object-relational (ORM) framework to operate with safer abstractions."
668592110,python.tars.fastapi.sql.aiosqlite.fastapi-aiosqlite-sqli.fastapi-aiosqlite-sqli,Code,Critical,Open,High,security,False,,,,local_scan/modern-software-dev-assignments/week6,https://github.com/snowshine0216/modern-software-dev-assignments,https://github.com/snowshine0216/modern-software-dev-assignments/blob/fafbec0c8135cdd84d6cb0239655fe25b603b75d/week6/backend/app/routers/notes.py#L80,https://semgrep.dev/orgs/snowshine_personal_org/findings/668592110,2026-01-03 09:15:35.079027,2026-01-03 09:15:35.061970,refs/heads/master,,,,"Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. To prevent this vulnerability, use prepared statements that do not concatenate user-controllable strings and use parameterized queries where SQL commands and user data are strictly separated. Also, consider using an object-relational (ORM) framework to operate with safer abstractions."
668592109,python.tars.fastapi.sql.aiosqlite.fastapi-without-url-path-aiosqlite-sqli.fastapi-without-url-path-aiosqlite-sqli,Code,Critical,Open,High,security,False,,,,local_scan/modern-software-dev-assignments/week6,https://github.com/snowshine0216/modern-software-dev-assignments,https://github.com/snowshine0216/modern-software-dev-assignments/blob/fafbec0c8135cdd84d6cb0239655fe25b603b75d/week6/backend/app/routers/action_items.py#L33,https://semgrep.dev/orgs/snowshine_personal_org/findings/668592109,2026-01-03 09:15:35.079010,2026-01-03 09:15:35.061960,refs/heads/master,,,,"Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. To prevent this vulnerability, use prepared statements that do not concatenate user-controllable strings and use parameterized queries where SQL commands and user data are strictly separated. Also, consider using an object-relational (ORM) framework to operate with safer abstractions."
668592108,python.tars.fastapi.sql.aiosqlite.fastapi-without-url-path-aiosqlite-sqli.fastapi-without-url-path-aiosqlite-sqli,Code,Critical,Open,High,security,False,,,,local_scan/modern-software-dev-assignments/week6,https://github.com/snowshine0216/modern-software-dev-assignments,https://github.com/snowshine0216/modern-software-dev-assignments/blob/fafbec0c8135cdd84d6cb0239655fe25b603b75d/week6/backend/app/routers/notes.py#L33,https://semgrep.dev/orgs/snowshine_personal_org/findings/668592108,2026-01-03 09:15:35.078994,2026-01-03 09:15:35.061950,refs/heads/master,,,,"Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. To prevent this vulnerability, use prepared statements that do not concatenate user-controllable strings and use parameterized queries where SQL commands and user data are strictly separated. Also, consider using an object-relational (ORM) framework to operate with safer abstractions."
